物件の管理番号,備考欄（技術）,積載量/kg,点検月
"HK055","<div><font size=""4"">駐車場：管理人確認</font></div><div><font size=""4"">
階段開放:無
</font></div><div><font size=""4"">通知:全体FAX及び現地FAX011-866-2447.</font><span style=""font-size: large;"">時間指定AM
</span></div><div><span style=""font-size: large;"">警備：
（東急コミュニティー0570-06-2109 建物番号：010261　1290＃　04＃）2024,12自動受付不要
</span></div><div><span style=""font-size: large;"">監視:キズナ
</span></div><div><span style=""font-size: large;"">蛍光灯：LED
　</span></div><div><span style=""font-size: large;"">

※点検終了後レポートFAX
※故障時緊急管理センターTEL011-555-2593
*緊急出動報告書は即日提出が必要。CRCからも漏れが生じぬよう、FAX送信を促す。
ピットに湧水等、発生した場合は写真を　佐藤　匠吾様　宛て　tel 090-6874-6902   後、メール　shogo-sato@tokyu-com.co.jpまで</span></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK2-787","<div><font size=""4"">駐車場：管理室横
</font></div><div><font size=""4"">階段開放：無
</font></div><div><font size=""4"">通知：FAX(011-875-8933)水曜点検NG
</font></div><div><font size=""4"">警備：CSPだがEVは信号無し
</font></div><div><font size=""4"">監視：キズナ</font></div><div><font size=""4"">
蛍光灯：LED
</font></div><div><font size=""4"">

※機械室はA棟から</font></div><div><font size=""4"">
※メンテコン回収済み</font></div><div><font size=""4"">
2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-3056 ※札幌本店、南支店ともに共通番号となります</font></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK2-788","<div><font size=""4"">駐車場：管理室横
</font></div><div><font size=""4"">階段開放：無
</font></div><div><font size=""4"">通知：FAX(011-875-8933)水曜点検NG</font></div><div><font size=""4"">
警備：CSPだがEVは信号無し
</font></div><div><font size=""4"">監視：キズナ</font></div><div><font size=""4"">
蛍光灯：LED</font></div><div><font size=""4"">


※機械室はA棟から
</font></div><div><font size=""4"">※メンテコン回収済み
2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-3056 ※札幌本店、南支店ともに共通番号となります</font></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK2-789","<div><font size=""4"">駐車場：管理室横</font></div><div><font size=""4"">
階段開放：無</font></div><div><font size=""4"">
通知：FAX(011-875-8933)水曜点検NG</font></div><div><font size=""4"">
警備：CSPだがEVは信号無し</font></div><div><font size=""4"">
監視：キズナ
</font></div><div><font size=""4"">蛍光灯：LED</font></div><div><font size=""4"">


※機械室はB棟から</font></div><div><font size=""4"">
※メンテコン回収済み</font></div><div><font size=""4"">
2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡
夜間休日番号　TEL)06-6885-30536※札幌本店、南支店ともに共通番号となります</font></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK3-309","<div><font size=""4"">駐車場：近隣有料（遠い）</font></div><div><font size=""4"">
階段開放：無
</font></div><div><font size=""4"">通知：貼紙
</font></div><div><font size=""4"">警備：なし </font></div><div><font size=""4"">
監視：キズナ</font></div><div><font size=""4"">
蛍光灯：LED</font></div><!-- RICH TEXT -->","450","1.4.7.10"
"HK8-260","<div>CV500(4停)　　　</div><div>駐車場所：近隣パーキング??<span style=""font-size: x-small;background-color: rgb(255,255,255);color: rgb(31,31,31);font-family: &quot;Google Sans&quot; , Roboto , Arial , sans-serif;"">Dパーキング新さっぽろ駅前</span></div><div>警備：無、外部階段解放：無、挨拶：無</div><div><br /></div><div>遠隔監視：キズナ、入館：呼5963契約：POG、</div><div>点検月：1・4・7・10　客先INT：1階エレベータホール、照明：LED</div><div><br /></div><div>点検時間：指定無　　　レポート作成：2部　提出先：契約先郵送</div><div><br /></div><div>点検連絡：貼紙(かご内)・契約先FAX：011-707-4144</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK3-105","<div>CV60A　
</div><div>駐車：有料
</div><div>警備：無</div><div>
階段開放：要
</div><div>暗証：1125E
</div><div>点検通知：貼紙　全体FAX
</div><div>鍵：最上階外部階段柵
</div><div>蛍光灯：FL20×2本
</div><div>かご内ES切るとブザー鳴ります</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK1-929","<div>H90　</div><div>
駐車場：近隣有料P</div><div> 
警備：なし </div><div>
外部階段：要</div><div>
暗証：呼0511</div><div>
鍵：1階機械室扉
</div><div>警備：無
</div><div>蛍光灯：LED</div><div>
点検通知：貼紙
</div><div>キズナ　点検月　1.4.7.10　FM
　

(株)ノーザンスカイビルは4階。1階はジュエリーショップがあり普段は10時～19時までは居る。
(株)ノーザンスカイビルの住所は契約先参照

※LED：売切り(2022.1.31～)</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK6-786","<div>REVOⅡ</div><div>
駐車場：有料</div><div>
暗証：呼0206</div><div>
鍵：2FインターホンBOX内</div><div>
外部階段：開放</div><div>
点検通知：貼紙　全体FAX　点検後日動報告書FAX
点検月　1.4.7.10　FM
キズナ</div><div>
蛍光灯FCL30×2　4月</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK3-019","<div>SICON2001(S50)　</div><div>
駐車：有料</div><div>
警備：無</div><div>
階段解放：  内階段
</div><div>キーBOX：建物横　動力盤下
水曜以外　13：00～14：00
</div><div>蛍光灯：LED
</div><div>点検通知：貼紙
点検後2F歯科に挨拶　管理は2階歯科
点検前後4階鍼灸院にも挨拶
23:00～8:00  タイマーにて休止　

【契約内容変更】FM毎月2回　直話装置付→FM1/3　プライム付(H28.10～)</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK352","<div>SICON4000JZI(B89）
</div><div>警備：無
</div><div>駐車場：裏側に来客用有り
</div><div>階段開放：無
</div><div>鍵：1階管理室扉</div><div>
蛍光灯：LED
メンテコン支社
キズナ　1.4.7.10　POG
</div><div>機械室は2号機から
</div><div>点検通知：貼紙</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK351","<div>SICON4000JZI(B89）</div><div>
警備：無
</div><div>駐車場：裏側に来客用有り
</div><div>階段開放：無</div><div>
鍵：1階管理室扉
メンテコン支社
キズナ　1.4.7.10　POG</div><div>
蛍光灯：LED
機械室は2号機から
</div><div>点検通知：貼紙</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK812","<div>VFCLA　
</div><div>駐車場：正面レンガの所 </div><div>
警備：なし</div><div> 
外部開放：要
</div><div>オートロック：＃5211
屋上南京錠：5211
キーBOX：HK3-237　バリアント南郷キーBOX内　メールBOX横　</div><div>
蛍光灯7月FCL20×2本</div><div>
点検通知：貼紙</div><div>

契約日が3月16日のため、解約日は15日締めのこと。

故障時FAX：北勝都市開発  011-616-8175  【防犯カメラリース契約解約】H24.8.末解約                           
※機械室扉オートロックの為注意    ※防犯カメラ契約末解約</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK8-183","<div>㈱ユニテックスの物件に関しましては、故障対応後、報告書を速やかにFAXするよう、お願い致します。FAX)011-750-1777</div><div>
駐車場：有料
</div><div>警備：無
</div><div>暗証：＃0201
</div><div>蛍光灯：LED
</div><div>点検通知：貼紙　全体FAX
</div><div>キズナ　POG　1.4.7.10</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK8-627","<div>内階段　
</div><div>駐車場なし　隣有料
</div><div>暗証：呼4513</div><div>
警備：無</div><div>
蛍光灯：LED</div><div>
点検通知：貼紙　全体FAX</div><div>
キズナ　FM　1.4.7.10</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK7-148","<div>暗証番号：9477  警備：無し　階段開放：要　keyBOX：1F管理人室扉　駐車場：駐車場入り口通路で建物側
</div><div>
屋上へ続く鉄格子の扉合う鍵ありませんので、隙間から手をいれて開閉お願いします。</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK1-337","<div>警備：CSPセントラル 　011-700-2700</div><div>
駐車場：建物入り口左側2台スペース  
外部階段はあけない
JESメンテコン必要</div><div>
オートロック：4969
</div><div>キーBOX:管理人室扉
キズナ　　POG 1.4.7.10</div><div>?</div><div>蛍光灯：LED</div><div>
点検通知：TEL011-856-3171　AM指定　水曜以外



・管理人在中時間9：00～12：00  在中曜日(水曜日、日曜日以外</div><div> 2024/4/1~停止故障等の発生時、日本ハウズイングへ連絡 011-746-7311 夜間休日番号　TEL)06-6885-3056</div><div> ※札幌本店、南支店ともに共通番号となります</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK9-545","<div>駐車場：外階段横可能※隣、高級車の為要注意(近く有料P有り)</div><div>
階段開放：不要</div><div>
通知：貼紙
</div><div>警備：なし
</div><div>監視：KIZNOR</div><div>
蛍光灯：FCL30×4
</div><div>入館：フリー
</div><div>KBOX：１階管理人室
屋上格子扉　南京錠5963</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK3-217","<div>駐車場：建物裏来客用
階段開放：無
通知：TEL（011-871-2580）
警備：無
監視：無
蛍光灯：LED</div><div>3階事務所インターホン?</div><!-- RICH TEXT -->","450","1.4.7.10"
"HK9-765","OTIS Gen2 （203JIS）

駐車場：近く有料パーキング
※菊水８条３丁目６－６が今の所、一番近い
階段開放：不要（内階段）
警備：無
入館：暗証番号　呼0412
インターホン：1階ホール 24v
鍵：無
通知：貼紙、管理会社へＦＡＸ
備考：カゴ内SDタイプカメラ点検有（JES管理）
※リモコン最上階HPI内
照明：LED（メーカー施工）
HAD有","450","1.4.7.10"
"HK546","SICON4000JZI(B89)　駐車場：現地駐車場来客用(管理員確認要)、警備：有(MMS管理センター：011-232-1874)、外部階段解放：無(内階段)、挨拶：現地管理員 、機械室：屋上

遠隔監視：キズナ、入館：現地鍵(2号機玄関ポスト下)、契約：POG、点検月：1・4・7・10、客先INT：1階エレベータホール・管理室、照明：LED30×2

点検時間：火曜以外　　　レポート作成：3部　提出先：現地/管理会社郵送

点検連絡：現地TEL：011-891-9860　　　機械室は2号機10階扉より
　
管理人：月～金  9:00～17:00","450","1.4.7.10"
"HK545","SICON4000JZI(B89)　駐車場：現地駐車場来客用(管理員確認要)、警備：有(MMS管理センター：011-232-1874)、外部階段解放：無(内階段)、挨拶：現地管理員、機械室：屋上

遠隔監視：キズナ、入館：現地鍵(2号機玄関ポスト下)、契約：POG、点検月：1・4・7・10、客先INT：1階エレベータホール・管理室、照明：LED30×2

点検時間：火曜以外　　　レポート作成：3部　提出先：現地/管理会社郵送

点検連絡：現地TEL：011-891-9860　　　機械室は2号機屋上より
　
管理人：月～金  9:00～17:00","450","1.4.7.10"
"HK544","SICON4000JZI(B89)　駐車所：現地駐車場来客用(管理員確認要)、警備：有(MMS管理センター：011-232-1874)、外部階段解放：無(内階段)、挨拶：現地管理員、機械室：屋上

遠隔監視：キズナ、入館：現地鍵(2号機玄関ポスト下)、契約：POG、点検月：1・4・7・10、客先INT：1階エレベータホール・管理室、照明：LED30×2

点検時間：火曜以外　　　レポート作成：3部　提出先：現地/管理会社郵送

点検連絡：現地TEL：011-891-9860　　　機械室は2号機屋上より
　
管理人：月～金  9:00～17:00","450","1.4.7.10"
